Código do Alimento,Nome do alimento,Código e descrição da preparação,,Energia (kcal),"Proteína
 (g)","Lipídios totais
 (g)","Carboi-
 drato
 (g)",Fibra alimentar total (g)
Cereais e leguminosas,,,,,,,,
7801202,Coração de frango,2,Cozido(a),185,"26,41","7,92","0,1",-
7801202,Coração de frango,3,Grelhado(a)/brasa/churrasco,185,"26,41","7,92","0,1",-
7801202,Coração de frango,4,Assado(a),185,"26,41","7,92","0,1",-
7801202,Coração de frango,5,Frito(a),"207,66","26,41","10,48","0,1",-
7801202,Coração de frango,13,Ensopado,185,"26,41","7,92","0,1",-
7801301,Fígado de galinha ou frango,2,Cozido(a),167,"24,46","6,51","0,87",-
7801301,Fígado de galinha ou frango,4,Assado(a),167,"24,46","6,51","0,87",-
7801301,Fígado de galinha ou frango,5,Frito(a),"189,66","24,46","9,07","0,87",-
7801407,Canja,99,Não se aplica,"31,47","1,61","1,06","3,64","0,13"
7801702,Peru em pedaço não especificado,2,Cozido(a),207,"26,94","10,24",-,-
7801702,Peru em pedaço não especificado,4,Assado(a),207,"26,94","10,24",-,-
7801702,Peru em pedaço não especificado,5,Frito(a),"229,66","26,94","12,8",-,-
7801702,Peru em pedaço não especificado,13,Ensopado,"229,66","26,94","12,8",-,-
7801801,Peito de peru,1,Cru(a),140,"30,19","1,18",-,-
7801801,Peito de peru,2,Cozido(a),140,"30,19","1,18",-,-
7801801,Peito de peru,3,Grelhado(a)/brasa/churrasco,140,"30,19","1,18",-,-
7801801,Peito de peru,4,Assado(a),140,"30,19","1,18",-,-
7801801,Peito de peru,5,Frito(a),"162,66","30,19","3,74",-,-
7801801,Peito de peru,6,Empanado(a)/à milanesa,"162,66","30,19","3,74",-,-
7801801,Peito de peru,99,Não se aplica,140,"30,19","1,18",-,-
7802101,Asa de peru,2,Cozido(a),229,"27,38","12,43",-,-
7802101,Asa de peru,4,Assado(a),229,"27,38","12,43",-,-
7802701,Chester,2,Cozido(a),207,"26,94","10,24",-,-
7802701,Chester,4,Assado(a),207,"26,94","10,24",-,-
7802701,Chester,99,Não se aplica,207,"26,94","10,24",-,-
7802702,Tender,4,Assado(a),178,"22,62","9,02",-,-
7802801,Nambu,2,Cozido(a),219,"23,9",13,-,-
7802901,Nuggets de frango,3,Grelhado(a)/brasa/churrasco,"273,02","16,24","15,63","15,91","0,64"
7802901,Nuggets de frango,4,Assado(a),"273,02","16,24","15,63","15,91","0,64"
7802901,Nuggets de frango,5,Frito(a),"273,02","16,24","15,63","15,91","0,64"
7802901,Nuggets de frango,6,Empanado(a)/à milanesa,"273,02","16,24","15,63","15,91","0,64"
7802901,Nuggets de frango,7,Refogado(a),"273,02","16,24","15,63","15,91","0,64"
7802902,Steak de frango,2,Cozido(a),"211,84","31,37","7,12","3,39","0,14"
7802902,Steak de frango,3,Grelhado(a)/brasa/churrasco,"211,84","31,37","7,12","3,39","0,14"
7802902,Steak de frango,4,Assado(a),"211,84","31,37","7,12","3,39","0,14"
7802902,Steak de frango,5,Frito(a),"211,84","31,37","7,12","3,39","0,14"
7802902,Steak de frango,6,Empanado(a)/à milanesa,"211,84","31,37","7,12","3,39","0,14"
7802902,Steak de frango,99,Não se aplica,"211,84","31,37","7,12","3,39","0,14"
7803001,Codorna,5,Frito(a),"269,66","32,4","14,66",-,-
7803201,Pé e asa de galinha ou frango,2,Cozido(a),290,"26,86","19,46",-,-
7803201,Pé e asa de galinha ou frango,4,Assado(a),290,"26,86","19,46",-,-
7803201,Pé e asa de galinha ou frango,5,Frito(a),"312,66","26,86","22,02",-,-
7803301,Ovo de galinha,1,Cru(a),155,"12,58","10,61","1,12",-
7803301,Ovo de galinha,2,Cozido(a),155,"12,58","10,61","1,12",-
7803301,Ovo de galinha,4,Assado(a),155,"12,58","10,61","1,12",-
7803301,Ovo de galinha,5,Frito(a),"222,59","13,67","17,65","1,22",-
7803301,Ovo de galinha,7,Refogado(a),155,"12,58","10,61","1,12",-
7803301,Ovo de galinha,8,Molho vermelho,155,"12,58","10,61","1,12",-
7803301,Ovo de galinha,10,Ao alho e óleo,"222,59","13,67","17,65","1,22",-
7803301,Ovo de galinha,11,Com manteiga/óleo,"214,18","13,73","16,7","1,22",-
7803301,Ovo de galinha,12,Ao vinagrete,155,"12,58","10,61","1,12",-
7803301,Ovo de galinha,13,Ensopado,155,"12,58","10,61","1,12",-
7803301,Ovo de galinha,14,Mingau,155,"12,58","10,61","1,12",-
7803301,Ovo de galinha,99,Não se aplica,155,"12,58","10,61","1,12",-
7803501,Ovo de codorna,1,Cru(a),155,"12,58","10,61","1,12",-
7803501,Ovo de codorna,2,Cozido(a),155,"12,58","10,61","1,12",-
7803501,Ovo de codorna,5,Frito(a),"222,59","13,67","17,65","1,22",-
7803501,Ovo de codorna,12,Ao vinagrete,155,"12,58","10,61","1,12",-
7803501,Ovo de codorna,99,Não se aplica,155,"12,58","10,61","1,12",-
7803702,"Galinha-d'angola abatida, congelada ou viva",2,Cozido(a),247,"32,4","12,1",-,-
7803702,"Galinha-d'angola abatida, congelada ou viva",4,Assado(a),247,"32,4","12,1",-,-
7803703,Capote,2,Cozido(a),247,"32,4","12,1",-,-
7803703,Capote,4,Assado(a),247,"32,4","12,1",-,-
7803703,Capote,5,Frito(a),"269,66","32,4","14,66",-,-
7803707,Mutum,2,Cozido(a),239,"27,3","13,6",-,-
7803907,Pato em pedaços,2,Cozido(a),201,"26,14","9,97",-,-
7803907,Pato em pedaços,13,Ensopado,201,"26,14","9,97",-,-
7803908,Peito de pato,5,Frito(a),"223,66","26,14","12,53",-,-
7803913,Carne de pato,2,Cozido(a),201,"26,14","9,97",-,-
7803913,Carne de pato,4,Assado(a),201,"26,14","9,97",-,-
7803913,Carne de pato,5,Frito(a),"223,66","26,14","12,53",-,-
7805401,Peito de peru light,1,Cru(a),140,"30,19","1,18",-,-
7805401,Peito de peru light,2,Cozido(a),140,"30,19","1,18",-,-
7805401,Peito de peru light,99,Não se aplica,140,"30,19","1,18",-,-
7805501,Frango inteiro orgânico,2,Cozido(a),239,"27,3","13,6",-,-
7805501,Frango inteiro orgânico,4,Assado(a),239,"27,3","13,6",-,-
7805702,Filé de frango orgânico,2,Cozido(a),173,"30,91","4,51",-,-
7805702,Filé de frango orgânico,3,Grelhado(a)/brasa/churrasco,173,"30,91","4,51",-,-
7805702,Filé de frango orgânico,5,Frito(a),"195,66","30,91","7,07",-,-
7805702,Filé de frango orgânico,6,Empanado(a)/à milanesa,"211,84","31,37","7,12","3,39","0,14"
Laticínios,,,,,,,,
7900101,Leite de vaca integral,99,Não se aplica,"60,03","3,22","3,25","4,52",-
7900201,Leite de vaca fresco,99,Não se aplica,"60,03","3,22","3,25","4,52",-
7900301,Leite de cabra,99,Não se aplica,"69,03","3,56","4,14","4,45",-
7900601,Leite em pó integral,99,Não se aplica,480,"25,76",26,"36,16",-
7900710,Leite em pó desnatado,99,Não se aplica,358,"35,1","0,72","52,19",-
7900801,Leite em pó,99,Não se aplica,480,"25,76",26,"36,16",-
7900901,Leite condensado,99,Não se aplica,"319,7","7,88","8,67","54,18",-
7900903,Leite beijinho,99,Não se aplica,"319,7","7,88","8,67","54,18",-
7901001,Creme de leite,99,Não se aplica,292,"2,17","30,91","2,96",-
7901101,Chantilly,99,Não se aplica,"276,39","2,93","24,57","12,36",-
7901201,Iogurte de qualquer sabor,99,Não se aplica,"98,69","3,46","3,47","14,62","2,13"
7901203,Iogurte desnatado,99,Não se aplica,56,"5,73","0,18","7,68",-
7901204,Iogurte natural,99,Não se aplica,61,"3,47","3,25","4,66",-
7901301,Yakult de qualquer sabor,99,Não se aplica,"69,3","3,03","0,07","14,46",-
7901303,Bebida láctea,99,Não se aplica,"91,13","2,78","1,15","18,03","0,14"
7901304,Leite fermentado,99,Não se aplica,"50,23","3,32","1,98","4,7",-
7901401,Coalhada,99,Não se aplica,61,"3,47","3,25","4,66",-
7901501,Manteiga com ou sem sal,99,Não se aplica,717,"0,85","81,11","0,06",-
7901505,Manteiga de garrafa,99,Não se aplica,717,"0,85","81,11","0,06",-
7901602,Margarina com ou sem sal,99,Não se aplica,719,"0,9","80,5","0,9",-
7901701,Queijo prato,99,Não se aplica,302,"25,96","20,03","3,83",-
7901703,Queijo colonial,99,Não se aplica,302,"25,96","20,03","3,83",-
7901705,Queijo de colônia,99,Não se aplica,302,"25,96","20,03","3,83",-
7901801,Queijo muçarela,99,Não se aplica,318,"21,6","24,64","2,47",-
7901803,Muçarela,99,Não se aplica,318,"21,6","24,64","2,47",-
7901807,Muçarela de búfala,99,Não se aplica,318,"21,6","24,64","2,47",-
7901809,Queijo de búfala,99,Não se aplica,318,"21,6","24,64","2,47",-
7901901,Queijo de reino,99,Não se aplica,356,"24,94","27,44","2,22",-
7902001,Queijo de minas,99,Não se aplica,240,"17,6","14,1","10,6",-
7902003,Queijo de manteiga,99,Não se aplica,318,"21,6","24,64","2,47",-
7902004,Quechimia,99,Não se aplica,240,"17,6","14,1","10,6",-
7902005,Queijo de coalho,99,Não se aplica,373,"24,48","30,28","0,68",-
7902008,Queijo canastra,99,Não se aplica,240,"17,6","14,1","10,6",-
7902201,Queijo ricota,99,Não se aplica,174,"11,26","12,98","3,04",-
7902301,Leite de soja com sabor,99,Não se aplica,"64,05","3,68","1,65","9,07","1,1"
7902303,Ades original,99,Não se aplica,54,"3,27","1,75","6,28","0,6"
7902403,Queijo ralado,99,Não se aplica,431,"38,46","28,61","4,06",-
7902501,Queijo provolone,99,Não se aplica,351,"25,58","26,62","2,14",-
7902801,Queijo polenguinho,99,Não se aplica,349,"7,55","34,87","2,66",-
7902901,Requeijão,99,Não se aplica,231,"10,6","17,6",7,-
7902902,Queijo cremoso,99,Não se aplica,231,"10,6","17,6",7,-
7903001,Queijo não especificado,99,Não se aplica,375,"22,15","31,25","1,6",-
7903101,Leite com sabor,99,Não se aplica,"83,32","3,18","3,4","10,38","0,8"
7903102,Leite achocolatado,99,Não se aplica,"83,32","3,18","3,4","10,38","0,8"
7903109,Leite aRomãtizado,99,Não se aplica,"83,32","3,18","3,4","10,38","0,8"
7903110,Bebida achocolatada,99,Não se aplica,"83,32","3,18","3,4","10,38","0,8"
7903201,Nata,99,Não se aplica,195,"2,7","19,31","3,66",-
7903301,Queijo gorgonzola,99,Não se aplica,353,"21,4","28,74","2,34",-
7903402,Tofu,99,Não se aplica,61,"6,55","3,69","1,8","0,2"
7903501,Leite de soja em pó,99,Não se aplica,"408,33","32,85","13,22","42,13","9,18"
7903601,Leite de vaca desnatado,99,Não se aplica,"34,15","3,39","0,08","4,98",-
7903702,Leite de vaca semidesnatado,99,Não se aplica,42,"3,37","0,97","4,99",-
7903801,Leite não especificado pasteurizado,99,Não se aplica,"60,03","3,22","3,25","4,52",-
7903901,Iogurte de qualquer sabor light,99,Não se aplica,102,"4,37","1,08","19,05","0,3"
7904001,Iogurte de qualquer sabor diet,99,Não se aplica,"51,35","3,11","2,65","3,88","0,08"
7904201,Margarina light,99,Não se aplica,"253,69","0,08","28,52","0,27",-
7904301,Leite de vaca integral orgânico,99,Não se aplica,"60,03","3,22","3,25","4,52",-
7904401,Leite de vaca fresco orgânico,99,Não se aplica,"60,03","3,22","3,25","4,52",-
7904601,Leite semidesnatado de vaca orgânico,99,Não se aplica,42,"3,37","0,97","4,99",-
7904701,Creme de leite orgânico,99,Não se aplica,292,"2,17","30,91","2,96",-
7904801,Iogurte de qualquer sabor orgânico,99,Não se aplica,"98,69","3,46","3,47","14,62","2,13"
7904803,Iogurte de qualquer sabor desnatado orgânico,99,Não se aplica,95,"4,4","0,2",19,-
7904804,Iogurte natural de qualquer sabor orgânico,99,Não se aplica,61,"3,47","3,25","4,66",-
7905103,Muçarela light,99,Não se aplica,302,"25,96","20,03","3,83",-
7905104,Queijo muçarela light,99,Não se aplica,302,"25,96","20,03","3,83",-
7905201,Leite de soja com sabor light,99,Não se aplica,"53,21","2,56","1,03","8,62","0,69"
7905203,Ades light,99,Não se aplica,"39,37","1,99","0,82","6,18","0,55"
7905601,Creme de leite light,99,Não se aplica,59,"2,6","1,4",9,-
7905901,Queijo prato light,99,Não se aplica,"297,3","24,49","21,36","1,22",-
7906001,Queijo de minas light,99,Não se aplica,90,"13,74","1,93","3,63",-
7906005,Queijo de coalho light,99,Não se aplica,"297,3","24,49","21,36","1,22",-
7906201,Queijo ricota light,99,Não se aplica,"92,69","14,56","0,29","7,08",-
7906303,Queijo ralado light,99,Não se aplica,265,20,20,"1,37",-
7906401,Queijo polenguinho light,99,Não se aplica,231,"10,6","17,6",7,-
7906501,Requeijão light,99,Não se aplica,231,"10,6","17,6",7,-
7906601,Queijo não especificado light,99,Não se aplica,90,"13,74","1,93","3,63",-
7906702,Leite achocolatado light,99,Não se aplica,63,"3,24",1,"10,44","0,5"
7906710,Bebida achocolatada light,99,Não se aplica,63,"3,24",1,"10,44","0,5"
7906801,Leite com sabor diet,99,Não se aplica,"73,29","3,48","3,51","7,09","0,39"
7906802,Leite achocolatado diet,99,Não se aplica,"73,29","3,48","3,51","7,09","0,39"
7906810,Bebida achocolatada diet,99,Não se aplica,"73,29","3,48","3,51","7,09","0,39"
7906901,Leite de soja em pó light,99,Não se aplica,"379,58","32,94","2,8","59,92","2,4"
7907001,Leite em pó com sabor,99,Não se aplica,405,"3,3","3,1","90,9","4,8"
7907101,Manteiga com ou sem sal light,99,Não se aplica,"347,32","0,41","39,29","0,03",-
7907301,Queijo de minas frescal orgânico,99,Não se aplica,240,"17,6","14,1","10,6",-
7907305,Queijo de coalho frescal orgânico,99,Não se aplica,373,"24,48","30,28","0,68",-
Panificados,,,,,,,,
8000103,Pão de hambúrguer,99,Não se aplica,279,"9,5","4,33","49,45","2,1"
8000105,Pão de sal,99,Não se aplica,300,8,"3,1","58,6","2,3"
8000201,Pão doce,99,Não se aplica,"355,23","5,15","13,08","55,83","2,02"
8000203,Chineque,99,Não se aplica,"355,23","5,15","13,08","55,83","2,02"
8000218,Chineque com farofa,99,Não se aplica,"355,23","5,15","13,08","55,83","2,02"
8000229,Pão de mel,99,Não se aplica,"508,36","4,46","18,34","85,04","1,85"
8000234,Panetone,99,Não se aplica,"355,95","7,45","10,43","58,03","2,14"
8000237,Bisnaguinha,99,Não se aplica,310,"10,86","6,47","52,04",2
8000240,Croissant,99,Não se aplica,"455,16","8,04","26,26","46,84","1,75"
8000501,Pão de forma industrializado de qualquer marca,99,Não se aplica,266,"7,64","3,29","50,61","2,4"
8000801,Pão de queijo,99,Não se aplica,363,"5,1","24,6","34,2","0,6"
8001101,Pão de milho,99,Não se aplica,"316,62","7,2","10,43","47,96","4,38"
8001401,Pão integral,99,Não se aplica,247,"12,95","3,35","41,29","6,71"
8001501,Pão não especificado,99,Não se aplica,300,8,"3,1","58,6","2,3"
8001901,Torrada de qualquer pão,99,Não se aplica,377,"10,5","3,3","74,6","3,4"
8002001,Rosca doce,99,Não se aplica,"422,97","4,54","20,61","55,53","1,07"
8002002,Rosquinha doce,99,Não se aplica,443,"8,1",12,"75,2","2,1"
8002101,Rosca salgada,99,Não se aplica,"245,75","12,83","9,85","25,8","1,18"
8002106,Rosquinha salgada,99,Não se aplica,432,"10,1","14,4","68,7","2,5"
8002201,Biscoito salgado,99,Não se aplica,432,"10,1","14,4","68,7","2,5"
8002205,Presuntinho biscoito,99,Não se aplica,"508,99","8,88","25,4","60,74","2,55"
8002212,Biscoito de polvilho,99,Não se aplica,"436,72","4,46","29,08","38,37",-
8002225,Bolacha salgada,99,Não se aplica,432,"10,1","14,4","68,7","2,5"
8002227,Chips (salgadinhos),99,Não se aplica,"558,86","5,08","35,25","55,41","2,76"
8002230,Baconzitos,99,Não se aplica,"508,99","8,88","25,4","60,74","2,55"
8002236,Biscoito salgado integral,99,Não se aplica,"412,43","11,49","16,07","60,85","10,23"
8002301,Biscoito doce,99,Não se aplica,443,"8,1",12,"75,2","2,1"
8002302,Cavaco chinês,99,Não se aplica,443,"8,1",12,"75,2","2,1"
8002305,Sequilho,99,Não se aplica,443,"8,1",12,"75,2","2,1"
8002306,Tareço,99,Não se aplica,443,"8,1",12,"75,2","2,1"
8002309,Solda,99,Não se aplica,432,"10,1","14,4","68,7","2,5"
8002315,Brevidade,99,Não se aplica,"371,22","3,18","14,61","57,71","1,06"
8002334,Bolacha doce,99,Não se aplica,443,"8,1",12,"75,2","2,1"
8002335,Maria maluca (bolacha doce),99,Não se aplica,443,"8,1",12,"75,2","2,1"
8002405,Quebra-quebra,99,Não se aplica,443,"8,1",12,"75,2","2,1"
8002502,Rocambole,99,Não se aplica,"339,26","6,32","26,93","18,55","0,54"
8002503,Cuca de qualquer tipo,99,Não se aplica,"355,23","5,15","13,08","55,83","2,02"
8002601,Bolo de milho,99,Não se aplica,311,"4,8","12,4","45,1","0,7"
8002604,Amidomil (bolinho),99,Não se aplica,311,"4,8","12,4","45,1","0,7"
8002605,Angusor de milho,99,Não se aplica,311,"4,8","12,4","45,1","0,7"
8002609,Grustoli (bolinho doce),99,Não se aplica,"421,37","5,55","19,81","55,7","1,21"
8002701,Bolo de aipim,99,Não se aplica,324,"4,4","12,7","47,9","0,7"
8002702,Bolo de tapioca,99,Não se aplica,324,"4,4","12,7","47,9","0,7"
8002703,Bolo de macaxeira,99,Não se aplica,324,"4,4","12,7","47,9","0,7"
8002704,Bolo de goma,99,Não se aplica,324,"4,4","12,7","47,9","0,7"
8002801,Bolo de batata-doce,99,Não se aplica,324,"4,4","12,7","47,9","0,7"
8002901,Bolo de arroz,99,Não se aplica,324,"4,4","12,7","47,9","0,7"
8003101,Bolo de cará,99,Não se aplica,324,"4,4","12,7","47,9","0,7"
8003501,Tortas doces de qualquer sabor,99,Não se aplica,"119,67","2,28","5,38","15,56","0,48"
8003601,Tortas salgadas de qualquer sabor,99,Não se aplica,"249,55","3,87","9,86","38,4","1,49"
8003701,Sonho,99,Não se aplica,"378,79","6,02","18,25","48,08","1,31"
8003702,Filhos (bolinho de farinha de trigo e ovos),99,Não se aplica,"421,37","5,55","19,81","55,7","1,21"
8003801,Bolo de chocolate,99,Não se aplica,"312,8","8,71",6,"58,3","1,76"
8003902,Brioche,99,Não se aplica,"366,84","9,04","14,22","49,58","1,8"
8004001,Bolo de laranja,99,Não se aplica,"360,83","4,8","13,15","58,32","2,36"
8004101,Bolo de coco,99,Não se aplica,"317,24","6,33","8,7","54,19","1,2"
8004201,Bolo de cenoura,99,Não se aplica,"344,86","4,17","17,26","44,27","1,61"
8004601,Bolo de trigo,99,Não se aplica,"286,6","6,91","4,24","55,27","0,65"
8004701,Broa,99,Não se aplica,392,"9,8","18,3","47,1","1,7"
8004801,Biscoito recheado,99,Não se aplica,472,"6,4","19,6","70,5",3
8004807,Waffer (biscoito),99,Não se aplica,"430,32","6,25","12,49","74,79","2,25"
8004809,Alfajores (biscoito),99,Não se aplica,"505,21","6,47","22,55","70,85","2,43"
8004810,Bolacha recheada,99,Não se aplica,472,"6,4","19,6","70,5",3
8004813,Rosca recheada,99,Não se aplica,"620,2","5,57","26,28","98,06","3,22"
8004814,Rosquinha recheada de qualquer sabor,99,Não se aplica,472,"6,4","19,6","70,5",3
8005201,Biscoito não especificado,99,Não se aplica,432,"10,1","14,4","68,7","2,5"
8006101,Crepe,99,Não se aplica,"203,18","13,96","12,46","8,27","0,66"
8006501,Pão diet (de forma industrializado),99,Não se aplica,198,"9,1","2,3","43,6",12
8006601,Pão light (de forma industrializado),99,Não se aplica,198,"9,1","2,3","43,6",12
8006701,Pão de queijo light,99,Não se aplica,363,"5,1","24,6","34,2","0,6"
8006801,Pão integral light,99,Não se aplica,198,"9,1","2,3","43,6",12
8007001,Tortas doces de qualquer sabor light,99,Não se aplica,"121,84","2,29","5,4","16,06","0,5"
8007101,Tortas doces de qualquer sabor diet,99,Não se aplica,"99,17","2,25","5,3","10,66","0,37"
8007302,Filhos (bolinho de farinha de trigo e ovos) light,99,Não se aplica,"426,53","6,44","22,95","48,69","1,4"
8007402,Filhos (bolinho de farinha de trigo e ovos) diet,99,Não se aplica,"426,53","6,44","22,95","48,69","1,4"
8007501,Bolo de chocolate light,99,Não se aplica,"299,49","4,59","9,36","52,45",2
8007601,Bolo de chocolate diet,99,Não se aplica,"299,49","4,59","9,36","52,45",2
8007701,Bolo de laranja light,99,Não se aplica,"328,38","4,76","9,48","58,31","2,36"
8008001,Bolo de coco diet,99,Não se aplica,"299,49","4,59","9,36","52,45",2
8008201,Bolo de cenoura diet,99,Não se aplica,"272,74","4,09","9,1","44,26","1,61"
8008301,Biscoito recheado light,99,Não se aplica,"432,96","5,88","13,24","77,8","4,24"
8008305,Biscoito waffer light,99,Não se aplica,"398,63","4,51","6,92","80,66","1,31"
8008307,Waffer (biscoito) light,99,Não se aplica,"398,63","4,51","6,92","80,66","1,31"
8008309,Alfajores (biscoito) light,99,Não se aplica,"432,96","5,88","13,24","77,8","4,24"
8008310,Bolacha recheada light,99,Não se aplica,"432,96","5,88","13,24","77,8","4,24"
8008401,Biscoito recheado diet,99,Não se aplica,"405,28","8,17","20,83","66,82","3,67"
8008408,Rosquinha recheada de qualquer sabor diet,99,Não se aplica,"405,28","8,17","20,83","66,82","3,67"
8008410,Bolacha recheada diet,99,Não se aplica,"405,28","8,17","20,83","66,82","3,67"
8010001,Pão doce diet,99,Não se aplica,"312,25","4,83","6,92","57,97","1,64"
8010029,Pão de mel diet,99,Não se aplica,"446,23","4,38","11,31","85,04","1,85"
8010034,Panetone diet,99,Não se aplica,"355,95","7,45","10,43","58,03","2,14"
8010101,Biscoito salgado light,99,Não se aplica,"452,56","9,67","13,79","72,45","3,45"
8010125,Bolacha salgada light,99,Não se aplica,"452,56","9,67","13,79","72,45","3,45"
8010127,Chips (salgadinhos) light,99,Não se aplica,"407,05","6,53","7,05","81,13","5,64"
8010401,Biscoito doce light,99,Não se aplica,"395,25","6,45","4,84","83,88","3,7"
8010434,Bolacha doce light,99,Não se aplica,"395,25","6,45","4,84","83,88","3,7"
8010501,Biscoito doce diet,99,Não se aplica,"453,92","6,22","21,89","65,74","2,95"
8010534,Bolacha doce diet,99,Não se aplica,"453,92","6,22","21,89","65,74","2,95"
8010601,Bolo de banana,99,Não se aplica,"300,05","3,93","9,07","52,14","1,66"
Carnes industrializadas,,,,,,,,
8100101,Carne-seca,2,Cozido(a),313,"26,9","21,9",-,-
8100101,Carne-seca,3,Grelhado(a)/brasa/churrasco,313,"26,9","21,9",-,-
8100101,Carne-seca,4,Assado(a),313,"26,9","21,9",-,-
8100101,Carne-seca,5,Frito(a),347,"25,29","26,56",-,-
8100101,Carne-seca,7,Refogado(a),347,"25,29","26,56",-,-
8100101,Carne-seca,8,Molho vermelho,"255,2","21,78","17,56","1,08","0,3"
8100101,Carne-seca,13,Ensopado,347,"25,29","26,56",-,-
8100102,Carne de charque,1,Cru(a),313,"26,9","21,9",-,-
8100102,Carne de charque,2,Cozido(a),313,"26,9","21,9",-,-
8100102,Carne de charque,3,Grelhado(a)/brasa/churrasco,313,"26,9","21,9",-,-
8100102,Carne de charque,4,Assado(a),313,"26,9","21,9",-,-
8100102,Carne de charque,5,Frito(a),347,"25,29","26,56",-,-
8100102,Carne de charque,7,Refogado(a),347,"25,29","26,56",-,-
8100102,Carne de charque,8,Molho vermelho,"255,2","21,78","17,56","1,08","0,3"
8100102,Carne de charque,13,Ensopado,347,"25,29","26,56",-,-
8100103,Jabá,2,Cozido(a),313,"26,9","21,9",-,-
8100103,Jabá,5,Frito(a),347,"25,29","26,56",-,-
8100103,Jabá,7,Refogado(a),347,"25,29","26,56",-,-
8100103,Jabá,99,Não se aplica,313,"26,9","21,9",-,-
8100201,Carne de sol,1,Cru(a),313,"26,9","21,9",-,-
8100201,Carne de sol,2,Cozido(a),313,"26,9","21,9",-,-
8100201,Carne de sol,3,Grelhado(a)/brasa/churrasco,313,"26,9","21,9",-,-
8100201,Carne de sol,4,Assado(a),313,"26,9","21,9",-,-
8100201,Carne de sol,5,Frito(a),347,"25,29","26,56",-,-
8100201,Carne de sol,13,Ensopado,347,"25,29","26,56",-,-
8100202,Carne do sertão,2,Cozido(a),313,"26,9","21,9",-,-
8100202,Carne do sertão,4,Assado(a),313,"26,9","21,9",-,-
8100202,Carne do sertão,5,Frito(a),347,"25,29","26,56",-,-
8100502,Hambúrguer de carne bovina,1,Cru(a),214,"26,62","11,1",-,-
8100502,Hambúrguer de carne bovina,2,Cozido(a),214,"26,62","11,1",-,-
8100502,Hambúrguer de carne bovina,3,Grelhado(a)/brasa/churrasco,214,"26,62","11,1",-,-
8100502,Hambúrguer de carne bovina,4,Assado(a),214,"26,62","11,1",-,-
8100502,Hambúrguer de carne bovina,5,Frito(a),"236,66","26,62","13,66",-,-
8100502,Hambúrguer de carne bovina,8,Molho vermelho,176,"21,56","8,92","1,08","0,3"
8100502,Hambúrguer de carne bovina,99,Não se aplica,214,"26,62","11,1",-,-
8100802,Copa de porco defumada,99,Não se aplica,"248,66","20,53","17,76","0,42",-
8101005,Bacon,99,Não se aplica,541,"37,04","41,78","1,43",-
8101101,Hambúrguer de frango,2,Cozido(a),"206,14","16,19","9,71","12,64","0,61"
8101101,Hambúrguer de frango,3,Grelhado(a)/brasa/churrasco,"206,14","16,19","9,71","12,64","0,61"
8101101,Hambúrguer de frango,4,Assado(a),"206,14","16,19","9,71","12,64","0,61"
8101101,Hambúrguer de frango,5,Frito(a),"266,67","16,19","16,55","12,64","0,61"
8101101,Hambúrguer de frango,6,Empanado(a)/à milanesa,"266,67","16,19","16,55","12,64","0,61"
8101101,Hambúrguer de frango,99,Não se aplica,"206,14","16,19","9,71","12,64","0,61"
8102101,Salsicha no varejo,1,Cru(a),"321,05","9,72","29,51","3,61",-
8102101,Salsicha no varejo,2,Cozido(a),"321,05","9,72","29,51","3,61",-
8102101,Salsicha no varejo,3,Grelhado(a)/brasa/churrasco,"321,05","9,72","29,51","3,61",-
8102101,Salsicha no varejo,4,Assado(a),"321,05","9,72","29,51","3,61",-
8102101,Salsicha no varejo,5,Frito(a),"321,05","9,72","29,51","3,61",-
8102101,Salsicha no varejo,7,Refogado(a),"321,05","9,72","29,51","3,61",-
8102101,Salsicha no varejo,8,Molho vermelho,"289,43","8,56","26,1","4,74","0,04"
8102101,Salsicha no varejo,9,Molho branco,"321,6","11,3","29,04","3,24","0,3"
8102101,Salsicha no varejo,10,Ao alho e óleo,"321,05","9,72","29,51","3,61",-
8102101,Salsicha no varejo,11,Com manteiga/óleo,"321,05","9,72","29,51","3,61",-
8102101,Salsicha no varejo,13,Ensopado,"321,05","9,72","29,51","3,61",-
8102101,Salsicha no varejo,99,Não se aplica,"321,05","9,72","29,51","3,61",-
8102204,"Linguiça (suína, bovina, mista, etc.)",1,Cru(a),396,"13,8","36,25","2,7",-
8102204,"Linguiça (suína, bovina, mista, etc.)",2,Cozido(a),396,"13,8","36,25","2,7",-
8102204,"Linguiça (suína, bovina, mista, etc.)",3,Grelhado(a)/brasa/churrasco,396,"13,8","36,25","2,7",-
8102204,"Linguiça (suína, bovina, mista, etc.)",4,Assado(a),396,"13,8","36,25","2,7",-
8102204,"Linguiça (suína, bovina, mista, etc.)",5,Frito(a),396,"13,8","36,25","2,7",-
8102204,"Linguiça (suína, bovina, mista, etc.)",6,Empanado(a)/à milanesa,396,"13,8","36,25","2,7",-
8102204,"Linguiça (suína, bovina, mista, etc.)",7,Refogado(a),396,"13,8","36,25","2,7",-
8102204,"Linguiça (suína, bovina, mista, etc.)",8,Molho vermelho,"321,6","11,3","29,04","3,24","0,3"
8102204,"Linguiça (suína, bovina, mista, etc.)",11,Com manteiga/óleo,396,"13,8","36,25","2,7",-
8102204,"Linguiça (suína, bovina, mista, etc.)",13,Ensopado,396,"13,8","36,25","2,7",-
